Summary,Test Type,Epic,Feature,Story,Test Sets,JIRA Keys,Step Action,Step Data,Step Expected
"Buy ticket with Classic menu - Grancasa","Automatic","Cinesa Platform","Bar & Food Services","Compra con Menú Clásico - 1 entrada","Bar & Food Services","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Bugonia"";Selecting showtime ""19:15P. M.Sala 2"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
"Cinesa Luxe page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Cinesa Luxe page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""/experiencias/luxe/""];Taking screenshot",";;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully"
"Code of Conduct page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Code of Conduct navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/quienes-somos/codigo-de-conducta-y-etica-empresariales""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Programs page display and layout","Automatic","Cinesa Platform","Loyalty Programs - Rewards","Programs page display and layout","Loyalty Programs - Rewards","","TC: https://se-ocg.atlassian.net/browse/COMS-16804;Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/programas/""] (with overlay handling);Taking screenshot",";;;;;","Step completes successfully;Step completes successfully;Element should be visible;Click action completes;Click action completes;Step completes successfully"
"Blog de Cinesa page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Blog de Cinesa navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""/blog-cinesa/""];Validating Blog de Cinesa page URL",";;;","Step completes successfully;Element should be visible;Click action completes;Navigation completes successfully"
"Android App Download redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Android App Download navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""https://play.google.com/store/apps/details?id=nz.co.vista.android.movie.cinesa""];Validating Android App Download page URL",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Navigation completes successfully"
"Attempt to select seats leaving empty space between selection - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Seat selection validation rules","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-5620;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Bugonia"";Selecting showtime ""21:25P. M.Sala 6"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 1, Seat 2];Selecting seat [Row 1, Seat 4]",";;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Selection completes successfully"
"Attempt to select sofa seats leaving empty space between selection - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page",";;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully"
"Navigate through Random Movies from All Movies","Automatic","Cinesa Platform","Movies - Content Catalog","Random movie navigation - All Movies tab","Movies - Content Catalog","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[href=""/peliculas/""];Wait for #onetrust-banner-sdk to be visible",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Element should be visible"
"Full purchase with La Vanguardia promotional code - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Promotional code application in booking flow","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Reversion"";Selecting showtime ""21:35P. M.Sala 2"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 6, Seat 18];Confirming selected seats;Wait for ""Continue as Guest"" button",";;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Selection completes successfully;Page loads successfully"
"Attempt to select sofa seats separating group in same row - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Predator: Badlands"";Accepting the D-BOX warning modal if present;Waiting for seat picker container;Selecting seat [Row 2, Seat 2];Selecting seat [Row 2, Seat 12]",";;;;;;;;;;","Step completes successfully;Element should be visible;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Step completes successfully;Page loads successfully;Selection completes successfully;Selection completes successfully"
"Programs unlimited display and layout from URL","Automatic","Cinesa Platform","Loyalty Programs - Rewards","COMS-11226 - Unlimited programs page from URL","Loyalty Programs - Rewards","COMS-11226","TC: https://se-ocg.atlassian.net/browse/COMS-16804;Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Navigate to https://www.cinesa.es/unlimited/informacion/;Wait for #onetrust-banner-sdk to be visible;Wait for .page-wrapper to be visible;Wait for .cards-container to be visible;Wait for .package-card >> nth=0 to be visible;Taking screenshot",";;;;;;;;;","Step completes successfully;Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Element should be visible;Element should be visible;Element should be visible;Element should be visible;Step completes successfully"
"Programs unlimited display and layout from home page","Automatic","Cinesa Platform","Loyalty Programs - Rewards","COMS-11226 - Unlimited programs page from home","Loyalty Programs - Rewards","COMS-11226","TC: https://se-ocg.atlassian.net/browse/COMS-16804;Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/programas/""] (with overlay handling);Wait for .grid-row >> nth=0 to be visible;Wait for .grid-row .grid-column:last-child .cta-button button to be visible;Click on .grid-row .grid-column:last-child .cta-button button;Wait for .page-wrapper to be visible;Wait for .cards-container to be visible;Wait for .package-card >> nth=0 to be visible;Taking screenshot",";;;;;;;;;;;","Step completes successfully;Step completes successfully;Element should be visible;Click action completes;Click action completes;Element should be visible;Element should be visible;Click action completes;Element should be visible;Element should be visible;Element should be visible;Step completes successfully"
"Movie Schema URL validation test - Bug Detection","Automatic","Cinesa Platform","Movies - Content Catalog","OCG-3316 - Movie Schema URL validation","Movies - Content Catalog","OCG-3316","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Extracting movie schema from page",";;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Step completes successfully"
"Navigate through Top Movies","Automatic","Cinesa Platform","Movies - Content Catalog","Navigation through Top Movies section","Movies - Content Catalog","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[href=""/peliculas/""];Wait for #onetrust-banner-sdk to be visible;Click .v-film-list-grid .v-film-list-film:nth-child(1) .v-film-list-film__link (with overlay handling)",";;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Element should be visible;Click action completes"
"Work With Us page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Work With Us navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""https://cinesa-uci.jobtrain.co.uk/cinesajobs/Home/Job""];Validating Work With Us page URL",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Navigation completes successfully"
"Legal Notice page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Legal Notice navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/documentos-legales/aviso-legal""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Oasiz Movie Schema validation test","Automatic","Cinesa Platform","Movies - Content Catalog","Movie Schema validation - Oasiz","Movies - Content Catalog","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Extracting movie schema from page",";;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Step completes successfully"
"Cinesa Programs page redirection test","Automatic","Cinesa Platform","Loyalty Programs - Rewards","Programs page URL redirection validation","Loyalty Programs - Rewards","","TC: https://se-ocg.atlassian.net/browse/COMS-16804;Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/programas/""] (with overlay handling);Verify Programs page redirection",";;;;;","Step completes successfully;Step completes successfully;Element should be visible;Click action completes;Click action completes;Programs page redirection is correct"
"Whistleblowing Policy redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Whistleblowing Policy PDF navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href*=""whistleblowing-policy""];Validating Whistleblowing Policy PDF download",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Step completes successfully"
"Full purchase with single seat - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Complete purchase from seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Bugonia"";Selecting showtime ""22:00P. M.Sala 2"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
"Privacy Policy page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Privacy Policy navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/documentos-legales/politica-privacidad/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Select companion and wheelchair seat - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Wheelchair and companion seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""A pesar de ti"";Selecting showtime ""21:40P. M.Sala 8"";Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 1, Seat 10];Handling the wheelchair modal;Confirming selected seats",";;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Step completes successfully;Selection completes successfully"
"should display all social media links","Automatic","Cinesa Platform","Footer - Site Navigation","Social media links display","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Verify Facebook link visibility and href;Verify Twitter link visibility and href;Verify Instagram link visibility and href;Verify LinkedIn link visibility and href;Verify TikTok link visibility and href;Verify YouTube link visibility and href",";;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Facebook link visibility and href is correct;Twitter link visibility and href is correct;Instagram link visibility and href is correct;LinkedIn link visibility and href is correct;TikTok link visibility and href is correct;YouTube link visibility and href is correct"
